Embedding Model,Infection Precision,Infection Recall,Infection F1-score,PPI Precision,PPI Recall,PPI F1-score,Accuracy,Weighted Precision,Weighted Recall,Weighted F1-score,AUC macro,AUC weighted
IMSP,0.857142857,0.6,0.705882353,0.826086957,0.791666667,0.808510638,0.961152882,0.960471598,0.961152882,0.960592033,0.994730421,0.994058583
IMSP,0.909090909,1,0.952380952,0.934782609,0.895833333,0.914893617,0.979323308,0.979168053,0.979323308,0.979187922,0.99850879,0.998095098
IMSP,0.857142857,1,0.923076923,0.839622642,0.946808511,0.89,0.978070175,0.979336057,0.978070175,0.978428138,0.998314246,0.997673156
IMSP,0.916666667,0.916666667,0.916666667,0.846938776,0.864583333,0.855670103,0.968045113,0.968033998,0.968045113,0.968014302,0.996506093,0.995523634
IMSP,1,0.9,0.947368421,0.897959184,0.916666667,0.907216495,0.974874372,0.975095096,0.974874372,0.974920145,0.997866395,0.99698583
IMSP,1,0.9,0.947368421,0.914893617,0.895833333,0.905263158,0.976817043,0.976690434,0.976817043,0.976727876,0.997075841,0.997134038
IMSP,0.888888889,0.8,0.842105263,0.908163265,0.927083333,0.917525773,0.98245614,0.982704616,0.98245614,0.98248894,0.997581676,0.996761837
IMSP,0.923076923,1,0.96,0.771929825,0.936170213,0.846153846,0.964285714,0.966610374,0.964285714,0.96487754,0.995059127,0.993505289
IMSP,0.8,1,0.888888889,0.921348315,0.854166667,0.886486486,0.976817043,0.977242078,0.976817043,0.976796907,0.998210165,0.997543009
IMSP,0.888888889,0.8,0.842105263,0.888888889,0.833333333,0.860215054,0.967964824,0.967507659,0.967964824,0.96741143,0.997192427,0.996122113
IMSP,0.833333333,1,0.909090909,0.848484848,0.875,0.861538462,0.974310777,0.975314359,0.974310777,0.974561101,0.997930592,0.997179338
IMSP,0.909090909,1,0.952380952,0.95,0.791666667,0.863636364,0.970551378,0.97028829,0.970551378,0.969877673,0.997696957,0.996750694
IMSP,0.769230769,0.833333333,0.8,0.85106383,0.85106383,0.85106383,0.964285714,0.96429626,0.964285714,0.963929568,0.996452595,0.995416063
IMSP,1,0.666666667,0.8,0.97826087,0.9375,0.957446809,0.979949875,0.979951267,0.979949875,0.979416804,0.998401414,0.997876306
IMSP,0.833333333,1,0.909090909,0.901960784,0.958333333,0.929292929,0.979271357,0.979632771,0.979271357,0.979286458,0.99827133,0.997689901
IMSP,0.857142857,0.6,0.705882353,0.826530612,0.84375,0.835051546,0.968671679,0.968607348,0.968671679,0.968472397,0.996556142,0.995541429
IMSP,0.833333333,1,0.909090909,0.897959184,0.916666667,0.907216495,0.973684211,0.973727839,0.973684211,0.973571455,0.998097008,0.99741104
IMSP,0.888888889,0.666666667,0.761904762,0.916666667,0.70212766,0.795180723,0.966165414,0.965601287,0.966165414,0.964829123,0.995331795,0.99401581
IMSP,0.833333333,0.833333333,0.833333333,0.974683544,0.802083333,0.88,0.979323308,0.979431729,0.979323308,0.978763991,0.998614438,0.998184357
IMSP,0.9,0.9,0.9,0.945054945,0.895833333,0.919786096,0.977386935,0.977370604,0.977386935,0.976932782,0.999070004,0.998747473
IMSP,0.833333333,1,0.909090909,0.842105263,0.833333333,0.837696335,0.971177945,0.97133276,0.971177945,0.971184851,0.995075894,0.994710259
IMSP,0.875,0.7,0.777777778,0.898989899,0.927083333,0.912820513,0.976190476,0.97604931,0.976190476,0.975983471,0.997449094,0.997806006
IMSP,0.923076923,1,0.96,0.836734694,0.872340426,0.854166667,0.971804511,0.972091238,0.971804511,0.9718932,0.9977425,0.996890861
IMSP,0.785714286,0.916666667,0.846153846,0.927083333,0.927083333,0.927083333,0.978070175,0.978230396,0.978070175,0.977933112,0.998554608,0.99802494
IMSP,1,0.9,0.947368421,0.838095238,0.916666667,0.875621891,0.976758794,0.977669702,0.976758794,0.977043612,0.997897007,0.997131267
IMSP,0.909090909,1,0.952380952,0.852941176,0.90625,0.878787879,0.976190476,0.976684431,0.976190476,0.976360277,0.998423875,0.997771032
IMSP,1,1,1,0.835051546,0.84375,0.839378238,0.973057644,0.973117884,0.973057644,0.973083641,0.996971119,0.996138667
IMSP,0.923076923,1,0.96,0.895833333,0.914893617,0.905263158,0.979323308,0.979586123,0.979323308,0.97937086,0.998808963,0.998361138
IMSP,1,0.666666667,0.8,0.934065934,0.885416667,0.909090909,0.974937343,0.97477957,0.974937343,0.974531686,0.997898234,0.997885884
IMSP,0.888888889,0.8,0.842105263,0.87628866,0.885416667,0.880829016,0.969221106,0.96910328,0.969221106,0.968777916,0.9974605,0.996636775
IMSP,0.9,0.9,0.9,0.885416667,0.885416667,0.885416667,0.977443609,0.977888773,0.977443609,0.977530197,0.99848254,0.997916796
IMSP,0.818181818,0.9,0.857142857,0.903225806,0.875,0.888888889,0.973057644,0.973158582,0.973057644,0.972986365,0.997594895,0.996712037
IMSP,0.909090909,0.833333333,0.869565217,0.923913043,0.904255319,0.913978495,0.976190476,0.976172098,0.976190476,0.976142291,0.997988388,0.997363554
IMSP,1,0.916666667,0.956521739,0.803571429,0.9375,0.865384615,0.971804511,0.973790478,0.971804511,0.972342032,0.997302332,0.996249463
IMSP,0.818181818,0.9,0.857142857,0.858695652,0.822916667,0.840425532,0.967964824,0.967705151,0.967964824,0.967676977,0.997476613,0.996607691
